image,psnr_winner,ssim_winner,lpips_winner
000000000311.jpg,DeOldify (GAN),DeOldify (GAN),DeOldify (GAN)
000000002380.jpg,DeOldify (GAN),DeOldify (GAN),DeOldify (GAN)
000000002418.jpg,Zhang16 Fine-tuned (Ours),Zhang16 Fine-tuned (Ours),DeOldify (GAN)
000000002427.jpg,DeOldify (GAN),DeOldify (GAN),DeOldify (GAN)
000000002439.jpg,DeOldify (GAN),DeOldify (GAN),DeOldify (GAN)
000000002797.jpg,Zhang16 Fine-tuned (Ours),Zhang16 Fine-tuned (Ours),Zhang16 Fine-tuned (Ours)
000000002925.jpg,DeOldify (GAN),DeOldify (GAN),DeOldify (GAN)
000000003384.jpg,DeOldify (GAN),DeOldify (GAN),DeOldify (GAN)
000000003748.jpg,DeOldify (GAN),DeOldify (GAN),DeOldify (GAN)
000000004649.jpg,Zhang16 Fine-tuned (Ours),Zhang16 Fine-tuned (Ours),DeOldify (GAN)
000000005401.jpg,Zhang16 Fine-tuned (Ours),Zhang16 Fine-tuned (Ours),DeOldify (GAN)
000000005578.jpg,Zhang16 Fine-tuned (Ours),Zhang16 Fine-tuned (Ours),DeOldify (GAN)
000000005976.jpg,DeOldify (GAN),Zhang16 Fine-tuned (Ours),DeOldify (GAN)
000000007543.jpg,DeOldify (GAN),DeOldify (GAN),DeOldify (GAN)
000000007843.jpg,DeOldify (GAN),Zhang16 Fine-tuned (Ours),DeOldify (GAN)
000000008258.jpg,Zhang16 Fine-tuned (Ours),Zhang16 Fine-tuned (Ours),Zhang16 Fine-tuned (Ours)
000000008609.jpg,Zhang16 Pretrained,Zhang16 Fine-tuned (Ours),Zhang16 Fine-tuned (Ours)
000000009264.jpg,DeOldify (GAN),DeOldify (GAN),DeOldify (GAN)
000000009703.jpg,DeOldify (GAN),Zhang16 Fine-tuned (Ours),DeOldify (GAN)
000000011379.jpg,Zhang16 Fine-tuned (Ours),Zhang16 Fine-tuned (Ours),DeOldify (GAN)
000000011413.jpg,DeOldify (GAN),Zhang16 Fine-tuned (Ours),DeOldify (GAN)
000000011958.jpg,Zhang16 Fine-tuned (Ours),Zhang16 Fine-tuned (Ours),DeOldify (GAN)
000000013207.jpg,DeOldify (GAN),DeOldify (GAN),DeOldify (GAN)
000000014119.jpg,DeOldify (GAN),Zhang16 Fine-tuned (Ours),DeOldify (GAN)
000000014224.jpg,Zhang16 Fine-tuned (Ours),DeOldify (GAN),DeOldify (GAN)
000000014408.jpg,DeOldify (GAN),Zhang16 Fine-tuned (Ours),DeOldify (GAN)
000000014550.jpg,Zhang16 Fine-tuned (Ours),Zhang16 Fine-tuned (Ours),DeOldify (GAN)
000000015088.jpg,DeOldify (GAN),DeOldify (GAN),DeOldify (GAN)
000000015568.jpg,Zhang16 Fine-tuned (Ours),Zhang16 Fine-tuned (Ours),DeOldify (GAN)
000000015602.jpg,Zhang16 Fine-tuned (Ours),Zhang16 Fine-tuned (Ours),DeOldify (GAN)
000000016833.jpg,DeOldify (GAN),Zhang16 Fine-tuned (Ours),DeOldify (GAN)
000000017568.jpg,Zhang16 Fine-tuned (Ours),Zhang16 Fine-tuned (Ours),DeOldify (GAN)
000000017974.jpg,DeOldify (GAN),Zhang16 Fine-tuned (Ours),DeOldify (GAN)
000000019204.jpg,DeOldify (GAN),DeOldify (GAN),DeOldify (GAN)
000000019648.jpg,DeOldify (GAN),DeOldify (GAN),DeOldify (GAN)
000000020048.jpg,DeOldify (GAN),DeOldify (GAN),DeOldify (GAN)
000000021557.jpg,Zhang16 Fine-tuned (Ours),Zhang16 Fine-tuned (Ours),DeOldify (GAN)
000000022445.jpg,DeOldify (GAN),Zhang16 Fine-tuned (Ours),DeOldify (GAN)
000000023533.jpg,DeOldify (GAN),DeOldify (GAN),DeOldify (GAN)
000000024930.jpg,DeOldify (GAN),Zhang16 Fine-tuned (Ours),DeOldify (GAN)
000000025064.jpg,DeOldify (GAN),Zhang16 Fine-tuned (Ours),DeOldify (GAN)
000000025092.jpg,DeOldify (GAN),Zhang16 Fine-tuned (Ours),DeOldify (GAN)
000000025164.jpg,DeOldify (GAN),Zhang16 Fine-tuned (Ours),DeOldify (GAN)
000000025330.jpg,DeOldify (GAN),DeOldify (GAN),DeOldify (GAN)
000000025893.jpg,DeOldify (GAN),Zhang16 Fine-tuned (Ours),DeOldify (GAN)
000000026649.jpg,DeOldify (GAN),DeOldify (GAN),DeOldify (GAN)
000000026770.jpg,DeOldify (GAN),DeOldify (GAN),DeOldify (GAN)
000000027034.jpg,DeOldify (GAN),Zhang16 Fine-tuned (Ours),DeOldify (GAN)
000000028203.jpg,DeOldify (GAN),Zhang16 Fine-tuned (Ours),DeOldify (GAN)
000000028500.jpg,DeOldify (GAN),DeOldify (GAN),DeOldify (GAN)
000000028709.jpg,DeOldify (GAN),Zhang16 Fine-tuned (Ours),DeOldify (GAN)
000000028753.jpg,Zhang16 Fine-tuned (Ours),Zhang16 Fine-tuned (Ours),Zhang16 Fine-tuned (Ours)
000000030101.jpg,DeOldify (GAN),Zhang16 Fine-tuned (Ours),DeOldify (GAN)
000000030584.jpg,Zhang16 Fine-tuned (Ours),Zhang16 Fine-tuned (Ours),DeOldify (GAN)
000000030687.jpg,Zhang16 Fine-tuned (Ours),Zhang16 Fine-tuned (Ours),Zhang16 Fine-tuned (Ours)
000000031724.jpg,DeOldify (GAN),DeOldify (GAN),DeOldify (GAN)
000000032096.jpg,DeOldify (GAN),Zhang16 Fine-tuned (Ours),DeOldify (GAN)
000000032545.jpg,DeOldify (GAN),DeOldify (GAN),DeOldify (GAN)
000000033060.jpg,DeOldify (GAN),DeOldify (GAN),DeOldify (GAN)
000000033986.jpg,DeOldify (GAN),Zhang16 Fine-tuned (Ours),DeOldify (GAN)
000000034844.jpg,Zhang16 Fine-tuned (Ours),Zhang16 Fine-tuned (Ours),DeOldify (GAN)
000000035073.jpg,DeOldify (GAN),DeOldify (GAN),DeOldify (GAN)
000000036076.jpg,Zhang16 Fine-tuned (Ours),Zhang16 Fine-tuned (Ours),DeOldify (GAN)
000000036302.jpg,DeOldify (GAN),Zhang16 Fine-tuned (Ours),DeOldify (GAN)
000000036369.jpg,Zhang16 Fine-tuned (Ours),Zhang16 Fine-tuned (Ours),DeOldify (GAN)
000000036375.jpg,Zhang16 Fine-tuned (Ours),Zhang16 Fine-tuned (Ours),Zhang16 Fine-tuned (Ours)
000000037218.jpg,Zhang16 Fine-tuned (Ours),Zhang16 Fine-tuned (Ours),DeOldify (GAN)
000000037997.jpg,DeOldify (GAN),DeOldify (GAN),DeOldify (GAN)
000000038260.jpg,DeOldify (GAN),DeOldify (GAN),DeOldify (GAN)
000000038600.jpg,Zhang16 Fine-tuned (Ours),Zhang16 Fine-tuned (Ours),Zhang16 Fine-tuned (Ours)
000000038915.jpg,Zhang16 Fine-tuned (Ours),Zhang16 Fine-tuned (Ours),Zhang16 Fine-tuned (Ours)
000000039056.jpg,Zhang16 Pretrained,Zhang16 Pretrained,Zhang16 Pretrained
000000039260.jpg,DeOldify (GAN),DeOldify (GAN),Zhang16 Fine-tuned (Ours)
000000042660.jpg,Zhang16 Pretrained,Zhang16 Fine-tuned (Ours),DeOldify (GAN)
