image_id,psnr,ssim,time_seconds
000000000724.jpg,19.9014,0.7354,0.739
000000000776.jpg,17.8097,0.6961,0.945
000000001425.jpg,22.987,0.7809,1.096
000000001584.jpg,16.7926,0.6649,1.239
000000002261.jpg,17.0909,0.6229,0.905
000000002473.jpg,11.8713,0.7833,1.004
000000004765.jpg,19.3472,0.6378,1.319
000000005529.jpg,24.3372,0.7584,0.996
000000006040.jpg,16.7586,0.7859,0.812
000000006763.jpg,21.4757,0.6983,0.701
000000007784.jpg,15.7377,0.5616,0.684
000000007818.jpg,24.4729,0.782,0.877
000000009448.jpg,13.9306,0.6662,1.22
000000012576.jpg,18.53,0.6477,1.012
000000016228.jpg,22.8162,0.7659,0.94
000000017379.jpg,17.8889,0.5576,0.945
000000019432.jpg,17.6366,0.8044,1.108
000000020333.jpg,17.0899,0.7308,1.012
000000020992.jpg,19.8976,0.4249,0.623
000000021167.jpg,33.4396,0.9886,1.037
000000022705.jpg,21.986,0.7254,0.914
000000023272.jpg,20.1985,0.7371,0.672
000000025228.jpg,19.5874,0.6697,0.955
000000026926.jpg,17.4579,0.6667,0.864
000000027620.jpg,19.1008,0.6398,0.924
000000027768.jpg,20.4082,0.7645,1.33
000000031817.jpg,19.2653,0.6776,0.815
000000033221.jpg,18.7634,0.8216,0.711
000000033759.jpg,19.7813,0.8573,1.026
000000034760.jpg,16.7796,0.7309,1.073
000000034873.jpg,21.8055,0.7777,1.056
000000037689.jpg,20.5366,0.835,0.931
000000039405.jpg,24.8725,0.7922,1.088
000000039769.jpg,14.1713,0.7105,0.998
000000039914.jpg,19.8049,0.79,1.034
000000041990.jpg,20.8002,0.8335,1.051
000000042178.jpg,23.2455,0.6354,1.037
000000042889.jpg,17.6282,0.688,0.695
000000046463.jpg,21.4783,0.7366,0.657
000000047010.jpg,18.9022,0.6813,0.977
000000047121.jpg,25.1713,0.9068,0.934
000000050380.jpg,20.6943,0.7839,0.966
000000051738.jpg,17.9427,0.6469,0.716
000000052413.jpg,21.1924,0.7101,0.602
000000052565.jpg,22.7979,0.6504,0.997
000000053624.jpg,20.5121,0.6849,0.844
000000054164.jpg,22.0603,0.8861,0.974
000000054592.jpg,22.9569,0.7539,0.793
000000054605.jpg,21.6612,0.8045,1.246
000000056288.jpg,18.2664,0.6427,0.906
000000056545.jpg,21.0311,0.7067,1.013
000000059386.jpg,18.0386,0.5959,0.942
000000060052.jpg,16.7336,0.5631,0.925
000000061418.jpg,19.9467,0.6976,1.031
000000062692.jpg,18.2221,0.7566,0.94
000000063552.jpg,15.7704,0.6216,1.218
000000064359.jpg,20.8428,0.7338,0.626
000000064495.jpg,16.598,0.5955,0.952
000000064574.jpg,18.0301,0.5198,1.064
000000064868.jpg,20.4186,0.6463,0.712
000000064898.jpg,19.8092,0.6572,0.827
000000065455.jpg,20.1052,0.8248,0.604
000000066523.jpg,19.3176,0.5625,0.925
000000066561.jpg,21.2425,0.6337,0.951
000000066771.jpg,20.6037,0.8068,1.077
000000067534.jpg,16.0014,0.7118,0.688
000000067896.jpg,21.7571,0.7164,0.926
000000068387.jpg,19.4511,0.8081,1.096
000000070739.jpg,18.0354,0.6797,1.094
000000070774.jpg,25.6453,0.9139,1.027
000000075612.jpg,16.4298,0.5227,1.048
000000076731.jpg,16.1427,0.5396,0.971
000000077595.jpg,20.6996,0.7993,0.973
000000079034.jpg,23.8158,0.9727,1.066
000000081394.jpg,18.9609,0.7281,0.99
000000082688.jpg,14.4326,0.6371,0.935
000000083531.jpg,17.5028,0.6241,0.466
000000087144.jpg,21.0283,0.8388,1.009
000000088432.jpg,20.4581,0.7622,0.965
000000088848.jpg,19.0187,0.8005,1.572
000000089271.jpg,17.4506,0.6047,1.047
000000089296.jpg,19.6443,0.8273,0.953
000000089648.jpg,17.5385,0.6245,0.943
000000090003.jpg,18.1467,0.7626,1.031
000000092177.jpg,17.1845,0.7186,1.343
000000092660.jpg,17.815,0.7851,0.935
000000093965.jpg,23.3554,0.7968,1.025
000000094336.jpg,17.4716,0.719,0.64
000000096001.jpg,15.7112,0.4359,0.935
000000097278.jpg,15.4757,0.7444,1.17
000000098392.jpg,28.2157,0.9307,1.01
000000098520.jpg,20.5475,0.7525,1.012
000000098839.jpg,26.4093,0.8101,1.063
000000099114.jpg,22.3241,0.7776,0.575
000000102411.jpg,24.004,0.814,0.907
000000102707.jpg,21.4163,0.6565,1.222
000000103548.jpg,20.3608,0.7969,1.012
000000104612.jpg,21.238,0.7762,1.045
000000104669.jpg,16.6415,0.6525,0.675
000000105455.jpg,19.4697,0.6623,0.899
