image_id,psnr,ssim,time_seconds
000000000724.jpg,13.2926,0.6171,8.114
000000000776.jpg,11.7532,0.4782,13.083
000000001425.jpg,5.9744,0.3007,14.508
000000001584.jpg,21.8153,0.8757,19.89
000000002261.jpg,13.9557,0.6367,12.85
000000002473.jpg,13.7875,0.6164,13.258
000000004765.jpg,27.39,0.9589,18.821
000000005529.jpg,18.411,0.7981,13.805
000000006040.jpg,15.6547,0.6826,10.535
000000006763.jpg,15.9039,0.5991,7.984
000000007784.jpg,17.7989,0.7717,7.868
000000007818.jpg,8.4976,0.3032,13.211
000000009448.jpg,11.3639,0.5125,18.762
000000012576.jpg,14.2147,0.6144,15.024
000000016228.jpg,16.3179,0.8068,13.282
000000017379.jpg,14.3281,0.5746,15.566
000000019432.jpg,11.3024,0.5044,15.764
000000020333.jpg,21.2982,0.7831,12.25
000000020992.jpg,18.4377,0.6605,7.121
000000021167.jpg,24.6332,0.8854,12.481
000000022705.jpg,19.1019,0.7331,15.077
000000023272.jpg,17.3108,0.7874,8.413
000000025228.jpg,13.6373,0.3467,13.755
000000026926.jpg,13.437,0.6251,12.979
000000027620.jpg,14.4205,0.6747,15.948
000000027768.jpg,14.8173,0.6513,20.111
000000031817.jpg,14.4027,0.6174,9.421
000000033221.jpg,18.3928,0.843,7.539
000000033759.jpg,11.1319,0.5189,15.131
000000034760.jpg,13.6798,0.5558,13.237
000000034873.jpg,17.7076,0.7149,15.856
000000037689.jpg,11.1437,0.4482,12.825
000000039405.jpg,18.105,0.6891,15.105
000000039769.jpg,10.0238,0.3342,15.025
000000039914.jpg,11.0436,0.4942,15.444
000000041990.jpg,16.2147,0.7444,15.038
000000042178.jpg,9.0544,0.2185,15.371
000000042889.jpg,19.4108,0.7526,8.351
000000046463.jpg,15.8526,0.5997,9.001
000000047010.jpg,10.9818,0.484,15.453
000000047121.jpg,19.8762,0.7124,15.537
000000050380.jpg,19.4102,0.7832,12.929
000000051738.jpg,21.0834,0.874,8.392
000000052413.jpg,15.9194,0.7065,8.321
000000052565.jpg,6.31,0.2094,12.616
000000053624.jpg,14.1417,0.6338,13.95
000000054164.jpg,14.8319,0.6202,13.36
000000054592.jpg,18.4121,0.7614,13.334
000000054605.jpg,17.603,0.7995,19.646
000000056288.jpg,14.132,0.5889,15.263
000000056545.jpg,21.9732,0.8493,16.383
000000059386.jpg,12.4771,0.5155,13.154
000000060052.jpg,5.7372,0.2739,11.722
000000061418.jpg,6.4266,0.2601,12.248
000000062692.jpg,16.2277,0.7211,12.71
000000063552.jpg,13.7334,0.5865,19.902
000000064359.jpg,13.239,0.5631,7.512
000000064495.jpg,11.0231,0.4234,15.238
000000064574.jpg,10.8004,0.4007,15.694
000000064868.jpg,20.3453,0.877,8.407
000000064898.jpg,11.5522,0.4918,12.724
000000065455.jpg,12.7803,0.6562,8.379
000000066523.jpg,14.9927,0.6247,15.756
000000066561.jpg,21.2684,0.8562,13.093
000000066771.jpg,14.7055,0.5546,15.349
000000067534.jpg,14.1272,0.6818,8.583
000000067896.jpg,17.0429,0.7314,15.837
000000068387.jpg,15.3723,0.6074,15.467
000000070739.jpg,21.5433,0.8272,15.609
000000070774.jpg,7.5811,0.2266,11.444
000000075612.jpg,15.4185,0.6405,15.125
000000076731.jpg,14.9752,0.4683,12.18
000000077595.jpg,20.9444,0.8578,12.853
000000079034.jpg,7.8394,0.3437,16.247
000000081394.jpg,14.151,0.6426,16.084
000000082688.jpg,20.3779,0.8087,12.917
000000083531.jpg,17.7578,0.7307,5.667
000000087144.jpg,16.1936,0.7613,15.809
000000088432.jpg,13.1188,0.5888,15.582
000000088848.jpg,9.2244,0.4428,22.508
000000089271.jpg,14.203,0.6919,16.561
000000089296.jpg,16.0631,0.7231,13.249
000000089648.jpg,14.6145,0.6457,13.326
000000090003.jpg,11.6335,0.4864,15.173
000000092177.jpg,14.7608,0.5751,21.273
000000092660.jpg,16.5321,0.822,13.057
000000093965.jpg,12.4947,0.6165,14.204
000000094336.jpg,15.1741,0.682,7.338
000000096001.jpg,11.5205,0.3736,12.932
000000097278.jpg,13.3899,0.6363,13.758
000000098392.jpg,15.0871,0.747,14.933
000000098520.jpg,18.3452,0.7615,14.911
000000098839.jpg,19.1423,0.7793,15.342
000000099114.jpg,11.3284,0.4931,6.954
000000102411.jpg,14.554,0.7368,12.771
000000102707.jpg,15.4024,0.7187,18.545
000000103548.jpg,12.0284,0.5423,15.517
000000104612.jpg,16.2029,0.6736,15.066
000000104669.jpg,13.4397,0.6448,8.285
000000105455.jpg,11.4839,0.5427,12.661
000000106048.jpg,16.6019,0.729,12.856
000000107554.jpg,9.4325,0.4259,15.389
000000107851.jpg,12.0187,0.5881,14.788
000000108253.jpg,17.7788,0.6552,15.226
000000110784.jpg,15.9716,0.6711,13.242
000000111179.jpg,17.024,0.6899,15.23
000000111207.jpg,16.5168,0.713,14.653
000000111951.jpg,17.5823,0.6995,12.593
000000117374.jpg,12.053,0.5691,12.594
000000118209.jpg,11.8354,0.5909,15.105
000000121586.jpg,14.261,0.5759,14.839
000000121673.jpg,13.9153,0.6158,8.269
000000122927.jpg,23.304,0.8882,10.028
000000124659.jpg,17.8526,0.7256,15.565
000000124975.jpg,11.7851,0.6342,13.176
000000125405.jpg,13.5245,0.6622,12.857
000000127476.jpg,15.8974,0.7339,14.882
000000127494.jpg,18.6257,0.7482,7.3
000000128476.jpg,15.7933,0.6326,13.011
000000128654.jpg,17.2616,0.6017,8.722
000000130386.jpg,13.0675,0.622,8.186
000000133418.jpg,16.3784,0.7426,12.913
000000134322.jpg,12.4438,0.5459,15.215
000000134886.jpg,20.7572,0.846,15.751
